Id,District.Name,Neighborhood.Name,Longitude,Latitude,Month,Day.Span,Hour.Span,Weekday,Weekday.Weekend,Mild.injuries,Serious.injuries,Victims,Vehicles.involved,District.Name_imp,Neighborhood.Name_imp
2017S008765    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.203962,41.407568,October,21-25,15-18h,Monday,Weekday,0,0,0,2,FALSE,FALSE
2017S004272    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2.203962,41.407568,May,11-15,21-00h,Saturday,Weekend,1,0,1,2,FALSE,FALSE
2017S007872    ,Sant Martí,el Poblenou,2.205872,41.402571,September,21-25,21-00h,Friday,Weekday,0,0,0,4,FALSE,FALSE
2017S006104    ,Sant Martí,el Poblenou,2.206918,41.405113,July,11-15,12-15h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
2017S007031    ,Sant Martí,el Poblenou,2.204271,41.40546,August,16-20,09-12h,Thursday,Weekday,2,0,2,2,FALSE,FALSE
2017S001301    ,Sant Martí,el Poblenou,2.202204,41.403951,February,16-20,12-15h,Thursday,Weekday,1,0,1,3,FALSE,FALSE
2017S003504    ,Sant Martí,el Poblenou,2.199329,41.402168,April,16-20,18-21h,Wednesday,Weekday,1,0,1,2,FALSE,FALSE
2017S004030    ,Sant Martí,el Poblenou,2.198359,41.401538,May,6-10,18-21h,Saturday,Weekend,1,0,1,1,FALSE,FALSE
2017S007734    ,Sant Martí,el Poblenou,2.205855,41.394881,September,16-20,21-00h,Monday,Weekday,1,0,1,3,FALSE,FALSE
2017S006490    ,Sant Martí,el Poblenou,2.204965,41.394263,July,21-25,09-12h,Tuesday,Weekday,2,0,2,2,FALSE,FALSE
2017S010654    ,Sant Martí,el Poblenou,2.204965,41.394263,December,21-25,18-21h,Monday,Weekday,2,0,2,2,FALSE,FALSE
2017S006353    ,Sant Martí,el Poblenou,2.208218,41.396979,July,16-20,21-00h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
2017S007840    ,Sant Martí,el Poblenou,2.206712,41.395762,September,21-25,00-03h,Friday,Weekday,0,0,0,1,FALSE,FALSE
2017S004554    ,Sant Martí,el Poblenou,2.206712,41.395762,May,21-25,12-15h,Tuesday,Weekday,0,0,0,1,FALSE,FALSE
2017S001979    ,Sant Martí,el Poblenou,2.202744,41.393067,March,6-10,18-21h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S010731    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.191552,41.401556,December,26-31,18-21h,Thursday,Weekday,1,1,2,2,FALSE,FALSE
2017S009076    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.192684,41.397387,November,1-5,09-12h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S005350    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.193825,41.394851,June,16-20,06-09h,Monday,Weekday,1,0,1,2,FALSE,FALSE
2017S004357    ,Sant Martí,el Parc i la Llacuna del Poblenou,2.189091,41.393131,May,16-20,18-21h,Tuesday,Weekday,1,0,1,1,FALSE,FALSE
